case,f,angles_pi,vertex_exact,angle_sum_exact,equation_26_exact,minimum_f_from_vertex_degrees,status,source
APP-224,20,"[2/5, 2/5, 4/5, 3/5, 1]",true,true,true,16,matches_manuscript,recursive_search
APP-224,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",true,true,true,16,matches_manuscript,recursive_search
APP-012-OR1,44,"[4/11, 4/11, 6/11, 9/11, 1]",true,true,true,14,matches_manuscript,recursive_search
APP-037-OR1,24,"[1, 1/2, 1, 1/2, 1/6]",true,true,true,12,matches_manuscript,recursive_search
APP-074-OR1,20,"[2/5, 2/5, 4/5, 3/5, 1]",true,true,true,12,matches_manuscript,recursive_search
APP-074-OR1,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",true,true,true,12,matches_manuscript,recursive_search
APP-154-OR1,12,"[2/3, 1/2, 2/3, 1, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-169-OR1,12,"[1/3, 2/3, 1, 1/2, 5/6]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-169-OR1,12,"[1/3, 2/3, 1, 1/3, 1]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-171-OR1,12,"[1/3, 2/3, 1, 1/3, 1]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-180-OR1,16,"[1/4, 3/4, 1, 1/2, 3/4]",true,true,true,16,matches_manuscript,recursive_search
APP-180-OR1,16,"[1/4, 3/4, 1, 1/4, 1]",true,true,true,16,matches_manuscript,recursive_search
APP-181-OR1,16,"[1/4, 3/4, 1, 1/4, 1]",true,true,true,16,matches_manuscript,recursive_search
